Parcel,OVR_L1_logistic,OVR_L2_logistic,OVR_L1_LinearSVC,OVR_L2_LinearSVC
LH_Vis_1,0.015061697688236677,0.013389711064129667,0.011842087081485167,0.018502397435365973
LH_Vis_2,0.019635479279802127,0.028548135251281626,0.023186723597120318,0.025135071646699557
LH_Vis_3,0.0200776575605577,0.03066230015614421,0.02212273210905222,0.030289212231756693
LH_Vis_4,0.018986029929942385,0.03049648330086087,0.023283450096035597,0.029943760449916403
LH_Vis_5,0.010888640163605965,0.019511116638339623,0.02057510812640772,0.02586742942420097
LH_Vis_6,0.014412248338376931,0.019359117854329894,0.0231729055258467,0.019303845569235447
LH_Vis_7,0.021335102046456358,0.013583164061960232,0.023380176594950876,0.017908220370600674
LH_Vis_8,0.021404192402824415,0.020202020202020204,0.023076179026931425,0.03324627948430958
LH_Vis_9,0.03052411944340809,0.026751785985712116,0.02937721952769833,0.030372120659398365
LH_SomMot_1,0.021376556260277194,0.012836988213185204,0.010101010101010102,0.011676270226201829
LH_SomMot_2,0.018488579364092362,0.020658016554049387,0.02061656234022855,0.016498777100692287
LH_SomMot_3,0.019594025065981294,0.022136550180325832,0.019414390139424337,0.017355497519656208
LH_SomMot_4,0.009106108969310064,0.009589741463886471,0.006121405574209952,0.005126504442509915
LH_SomMot_5,0.0067570368527960865,0.013569345990686621,0.007378850060108611,0.008885019828932278
LH_SomMot_6,0.015959872321021435,0.011772996725117108,0.016747502383617295,0.014702427835122774
LH_DorsAttn_Post_1,0.020630380411502162,0.026212881206041268,0.028741588249112188,0.025895065566748192
LH_DorsAttn_Post_2,0.019303845569235447,0.00965883182025453,0.010930094377426801,0.012602081001533807
LH_DorsAttn_Post_3,0.027636142547223255,0.01253299064516575,0.018018764940789567,0.016346778316682558
LH_DorsAttn_Post_4,0.030731390512512266,0.02773286904613854,0.024637621080849534,0.02619906313476765
LH_DorsAttn_Post_5,0.012643535215354641,0.011759178653843495,0.015448603683897803,0.011082093161436525
LH_DorsAttn_Post_6,0.011980267794221284,0.011911177437853224,0.010501734167944837,0.00643922121350302
LH_DorsAttn_PrCv_1,0.01525515068606724,0.010543188381765675,0.010888640163605965,0.015711147038096427
LH_DorsAttn_FEF_1,0.023684174162970334,0.01365225441832829,0.008995564399121171,0.012063176221862955
LH_SalVentAttn_ParOper_1,0.011040638947615693,0.023172905525846704,0.012643535215354641,0.011206455802899034
LH_SalVentAttn_FrOperIns_1,0.01634677831668256,0.010819549807237906,0.010529370310492062,0.00822175240779892
LH_SalVentAttn_FrOperIns_2,0.009672649891528141,0.012090812364410175,0.023767082590612006,0.016830410811258967
LH_SalVentAttn_PFCl_1,0.01482679047658528,0.010446461882850392,0.01797731072696873,0.013997706200168582
LH_SalVentAttn_Med_1,0.020229656344567425,0.015738783180643645,0.03273501084718595,0.018682032361922923
LH_SalVentAttn_Med_2,0.014757700120217222,0.023076179026931425,0.016084234962483936,0.01955257085216046
LH_SalVentAttn_Med_3,0.009686467962801752,0.009824648675537869,0.014937335046774173,0.007751937984496125
LH_Limbic_OFC_1,0.019276209426688225,0.017687131230222884,0.016139507247578382,0.020782379195511888
LH_Limbic_TempPole_1,0.018695850433196538,0.017023863809089528,0.016236233746493668,0.017673313158949273
LH_Limbic_TempPole_2,0.01068136909450179,0.010612278738133732,0.008028299409968357,0.011399908800729596
LH_Cont_Par_1,0.013596982133233846,0.017010045737815914,0.016415868673050615,0.017231134878193704
LH_Cont_PFCl_1,0.036300073235777754,0.024761983722312045,0.03815169478644172,0.033660821622517934
LH_Cont_pCun_1,0.03142229407619285,0.0418273017452224,0.04525418342107809,0.032334286780251215
LH_Cont_Cing_1,0.0032472467492987334,0.005015959872321022,0.00406251295444182,0.0052508670839724195
LH_Default_Temp_1,0.030731390512512263,0.041260760823004325,0.035360444389172165,0.03182301814312758
LH_Default_Temp_2,0.0036065166024126355,0.018391852865177083,0.015642056681728363,0.008608658403460047
LH_Default_Par_1,0.009534469178792025,0.014536610979839434,0.01550387596899225,0.016429686744324226
LH_Default_Par_2,0.013942433915074133,0.02440271386919814,0.033039008415205406,0.027953958186516328
LH_Default_PFC_1,0.015614420539181143,0.019815114206359077,0.017231134878193704,0.013721344774696349
LH_Default_PFC_2,0.02507979936160511,0.03190592657076925,0.018820213074659038,0.024098716301178685
LH_Default_PFC_3,0.01202172200804212,0.021818734541032763,0.01584932775083254,0.02100346833588968
LH_Default_PFC_4,0.018778758860838206,0.021804916469759152,0.021252193618814686,0.016250051817767276
LH_Default_PFC_5,0.018626760076828477,0.01868203236192292,0.025825975210380134,0.01576641932319087
LH_Default_PFC_6,0.015296604899888074,0.005361411654161313,0.007586121129212787,0.007696665699401679
LH_Default_PFC_7,0.0060246790752946705,0.009617377606433695,0.0076828476281280665,0.00762757534303362
LH_Default_pCunPCC_1,0.015130788044604736,0.019704569636170184,0.021293647832635522,0.024692893365943984
LH_Default_pCunPCC_2,0.010653732951954568,0.01789440229932706,0.01170390636874905,0.017521314374939548
RH_Vis_1,0.01941439013942434,0.018668214290649313,0.01875112271829098,0.01645732288687145
RH_Vis_2,0.016028962677389492,0.035318990175351325,0.027166328123920468,0.029473946026613608
RH_Vis_3,0.022385275463250844,0.029266674957509425,0.02449944036811342,0.025148889717973164
RH_Vis_4,0.028589589465102462,0.034020091475631835,0.0263786980613246,0.032997554201384574
RH_Vis_5,0.01804640108333679,0.021570009258107755,0.010018101673368432,0.021735826113391095
RH_Vis_6,0.006715582638975253,0.010183918528651772,0.017092954165457586,0.015628238610454755
RH_Vis_7,0.02137655626027719,0.020547471983860494,0.019041302215036828,0.02228854896433556
RH_Vis_8,0.010460279954124005,0.010888640163605965,0.013431165277950506,0.019013666072489603
RH_SomMot_1,0.0321961060675151,0.03578880459865412,0.02415398858627313,0.025977973994389864
RH_SomMot_2,0.024153988586273135,0.03303900841520541,0.023159087454573093,0.03175392778675953
RH_SomMot_3,0.012450082217524076,0.011303182301814313,0.012090812364410177,0.006687946496428029
RH_SomMot_4,0.01355552791941301,0.0069504898506266505,0.010570824524312898,0.007185397062278047
RH_SomMot_5,0.014633337478754716,0.008097389766336414,0.008152662051430863,0.009479196893697578
RH_SomMot_6,0.011386090729455983,0.012781715928090758,0.015462421755171415,0.01474388204894361
RH_SomMot_7,0.0056930453647279925,0.009313380038414238,0.01119263773162542,0.010280645027567053
RH_SomMot_8,0.03472481311058603,0.0358855310975694,0.036631706946344426,0.02738741726429825
RH_DorsAttn_Post_1,0.037294974367477786,0.03298373613011096,0.03223756028133593,0.030303030303030304
RH_DorsAttn_Post_2,0.011013002805068471,0.020685652696596613,0.012698807500449088,0.017438405947297876
RH_DorsAttn_Post_3,0.026613605272976,0.021155467119899407,0.024582348795755087,0.03156047478892896
RH_DorsAttn_Post_4,0.019455844353245176,0.023932899445895342,0.03067611822741782,0.031035388080531717
RH_DorsAttn_Post_5,0.024872528292500935,0.019317663640509058,0.02324199588221476,0.02119692133372024
RH_DorsAttn_PrCv_1,0.029874670093548345,0.025563431856181516,0.028147411184346886,0.04214511738451547
RH_DorsAttn_FEF_1,0.014052978485263028,0.012339537647335187,0.012726443642996313,0.01304425928228938
RH_SalVentAttn_TempOccPar_1,0.027345963050477415,0.023407812737498104,0.01931766364050906,0.019870386491453524
RH_SalVentAttn_TempOccPar_2,0.03881496220757507,0.03169865550166508,0.03585789495502218,0.039243322417057025
RH_SalVentAttn_FrOperIns_1,0.011330818444361537,0.01474388204894361,0.025024527076510664,0.025549613784907905
RH_SalVentAttn_Med_1,0.011054457018889303,0.006743218781522476,0.012767897856817147,0.012767897856817147
RH_SalVentAttn_Med_2,0.022260912821788336,0.02255109231853418,0.029059403888405257,0.024236897013914797
RH_Limbic_OFC_1,0.008594840332186434,0.012477718360071303,0.007599939200486396,0.010391189597755946
RH_Limbic_TempPole_1,0.01551769404026586,0.01756276858876038,0.007406486202655833,0.009727922176622588
RH_Cont_Par_1,0.014895880832953337,0.01941439013942434,0.02110019483480496,0.02415398858627313
RH_Cont_Par_2,0.021514736973013312,0.026503060702787108,0.02404344401608424,0.030980115795437274
RH_Cont_PFCl_1,0.019082756428857664,0.025632522212549573,0.022095095966504996,0.021196921333720243
RH_Cont_PFCl_2,0.018916939573574324,0.030427392944492808,0.03375754812143321,0.03310809877157347
RH_Cont_PFCl_3,0.008719202973648938,0.00840138733435587,0.019787478063811856,0.0204369274136716
RH_Cont_PFCl_4,0.017687131230222888,0.014356976053282483,0.01895839378739516,0.016042780748663103
RH_Cont_Cing_1,0.007544666915391952,0.013210076137572718,0.010114828172283713,0.017231134878193704
RH_Cont_PFCmp_1,0.021114012906078568,0.015614420539181143,0.02718014619519408,0.026516878774060716
RH_Cont_pCun_1,0.056184277798504885,0.0773535629896779,0.09012146084649504,0.07242051154499855
RH_Default_Par_1,0.01830894443753541,0.028340864182177454,0.01645732288687145,0.024278351227735633
RH_Default_Temp_1,0.005057414086141856,0.02118310326244663,0.01362461827578107,0.012422446074976855
RH_Default_Temp_2,0.009617377606433695,0.02057510812640772,0.020989650264616067,0.00863629454600727
RH_Default_Temp_3,0.01525515068606724,0.019372935925603504,0.01645732288687145,0.021072558692257735
RH_Default_PFCv_1,0.015559148254086694,0.01236717378988241,0.015517694040265864,0.00813884398015725
RH_Default_PFCv_2,0.01696859152399508,0.028838314748027474,0.01202172200804212,0.022882726029100856
RH_Default_PFCdPFCm_1,0.008194116265251697,0.011648634083654604,0.007793392198316959,0.009175199325678122
RH_Default_PFCdPFCm_2,0.025383796929624565,0.025038345147784274,0.021196921333720243,0.019732205778717406
RH_Default_PFCdPFCm_3,0.013583164061960234,0.012422446074976855,0.01315480385247827,0.01373516284596996
RH_Default_pCunPCC_1,0.027760505188685766,0.029073221959678867,0.02289654410037447,0.030800480868880323
RH_Default_pCunPCC_2,0.016429686744324226,0.02006383948928409,0.02507979936160511,0.023366358523677265
