Parcel,OVR_L1_logistic,OVR_L2_logistic,OVR_L1_LinearSVC,OVR_L2_LinearSVC
LH_Vis_1,0.001906893835758405,0.0019207119070320166,0.002473434757976482,0.001616714339012561
LH_Vis_2,0.004573781591565449,0.005997042932747447,0.005140322513783526,0.0018654396219375702
LH_Vis_3,0.013900979701253301,0.025743066782738463,0.024789619864859266,0.019911840705274356
LH_Vis_4,0.018336580580082633,0.017825311942959002,0.014868244690406113,0.020630380411502162
LH_Vis_5,0.007834846412137794,0.013583164061960234,0.007185397062278047,0.007337395846287775
LH_Vis_6,0.011220273874172642,0.006535947712418301,0.012076994293136568,0.011482817228371264
LH_Vis_7,0.04510218463706836,0.05067086736033385,0.05076759385924913,0.047326894112119836
LH_Vis_8,0.014771518191490831,0.02881067860548025,0.02636487999005099,0.019953294919095196
LH_Vis_9,0.01587696389337976,0.02104492254971051,0.018170763724799293,0.019359117854329894
LH_SomMot_1,0.0018239854081167355,0.0012159902720778235,0.005610136937086322,0.0005665409222180769
LH_SomMot_2,0.0013403529135403282,0.002832704611090384,0.002431980544155647,0.002860340753637607
LH_SomMot_3,0.004034876811894596,0.009631195677707307,0.012463900288797689,0.004490873163923779
LH_SomMot_4,0.020050021418010475,0.02238527546325084,0.019055120286310435,0.018999848001215992
LH_SomMot_5,0.017079136094183975,0.01821221793862013,0.0186543962193757,0.02094819605079523
LH_SomMot_6,0.03132556757727756,0.027193964266467693,0.0198427503489063,0.027774323259959377
LH_DorsAttn_Post_1,0.010667551023228177,0.018530033577913198,0.02773286904613854,0.018129309510978457
LH_DorsAttn_Post_2,0.010833367878511519,0.007061034420815543,0.012684989429175477,0.00941010653732952
LH_DorsAttn_Post_3,0.03652116237615555,0.0337437300501596,0.03978222719672788,0.029681217095717787
LH_DorsAttn_Post_4,0.011759178653843497,0.01120645580289903,0.016471140958145062,0.00856720418963921
LH_DorsAttn_Post_5,0.04655308212079758,0.0615456894526662,0.051762494990949155,0.05205267448769501
LH_DorsAttn_Post_6,0.03393718304799016,0.03292846384501651,0.03139465793364562,0.032665920490817894
LH_DorsAttn_PrCv_1,0.016056598819936718,0.0121184485069574,0.012146084649504622,0.015379513327529746
LH_DorsAttn_FEF_1,0.05972170404454947,0.05849189570119804,0.06266495322582874,0.055977006729400716
LH_SalVentAttn_ParOper_1,0.05412538517873675,0.06827509016291507,0.061352236454835625,0.056308640439967396
LH_SalVentAttn_FrOperIns_1,0.0063424947145877385,0.011952631651674058,0.00652212964114469,0.007282123561193329
LH_SalVentAttn_FrOperIns_2,0.008802111401290608,0.007434122345203057,0.0059832248614738355,0.007047216349541932
LH_SalVentAttn_PFCl_1,0.017770039657864556,0.02069947076787022,0.01542096754135058,0.020202020202020204
LH_SalVentAttn_Med_1,0.02494161864886899,0.018156945653525682,0.015061697688236678,0.02279981760145919
LH_SalVentAttn_Med_2,0.009686467962801752,0.014495156766018603,0.007268305489919717,0.009341016180961462
LH_SalVentAttn_Med_3,0.006964307921900261,0.006605038068786359,0.005665409222180768,0.007074852492089154
LH_Limbic_OFC_1,0.02308999709820504,0.03209937956859982,0.02740123533557187,0.021141649048625796
LH_Limbic_TempPole_1,0.013002805068468543,0.008511931904544766,0.00592795257637939,0.009935193245726764
LH_Limbic_TempPole_2,0.006397766999682184,0.007061034420815541,0.009189017396951734,0.008207934336525308
LH_Cont_Par_1,0.016070416891210325,0.026475424560239887,0.031104478436899778,0.035595351600823555
LH_Cont_PFCl_1,0.024789619864859266,0.03254155784935539,0.03200265306968454,0.03379900233525404
LH_Cont_pCun_1,0.027428871478119086,0.03681134187290138,0.028216501540714953,0.03251392170680816
LH_Cont_Cing_1,0.03317718912794152,0.028382318395998286,0.026585969130428776,0.02791250397269549
LH_Default_Temp_1,0.011137365446530973,0.009368652323508687,0.0109300943774268,0.01086100402105874
LH_Default_Temp_2,0.03468335889676519,0.038345147784272275,0.04243529688126131,0.040583675330597355
LH_Default_Par_1,0.013417347206676894,0.018336580580082633,0.028105956970526057,0.022606364603628627
LH_Default_Par_2,0.029874670093548345,0.02161146347192859,0.03243101327916649,0.02718014619519408
LH_Default_PFC_1,0.02006383948928409,0.019220937141593775,0.01941439013942434,0.022343821249430004
LH_Default_PFC_2,0.011966449722947671,0.01203554007931573,0.011399908800729596,0.02396053558844257
LH_Default_PFC_3,0.023269632024761983,0.014287885696914426,0.021832552612306377,0.022620182674902237
LH_Default_PFC_4,0.006936671779353038,0.004781052660669624,0.006231950144398846,0.0026116154707125985
LH_Default_PFC_5,0.0019759841921264632,0.00414542138208349,0.0028188865398167725,0.002653069684533433
LH_Default_PFC_6,0.022108914037778607,0.016374414459229783,0.021749644184664706,0.027345963050477415
LH_Default_PFC_7,0.011717724440022665,0.018267490223714575,0.013058077353562991,0.013942433915074137
LH_Default_pCunPCC_1,0.012298083433514349,0.007047216349541932,0.01365225441832829,0.009769376390443422
LH_Default_pCunPCC_2,0.015614420539181143,0.014232613411819979,0.017756221586590945,0.018378034793903465
