Parcel,OVR_L1_logistic,OVR_L2_logistic,OVR_L1_LinearSVC,OVR_L2_LinearSVC
LH_Vis_1,0.006480675427323853,0.009893739031905928,0.011220273874172643,0.015614420539181145
LH_Vis_2,0.004449418950102944,0.007696665699401679,0.008097389766336414,0.007779574127043348
LH_Vis_3,0.02144564661664525,0.02706960162500518,0.02557724992745513,0.032679738562091505
LH_Vis_4,0.03111829650817339,0.03855241885337645,0.03454517818402907,0.03288700963119568
LH_Vis_5,0.01821221793862013,0.021639099614475812,0.024347441584103693,0.018737304647017373
LH_Vis_6,0.018792576932111817,0.02382235487570645,0.02440271386919814,0.027788141331232984
LH_Vis_7,0.023780900661885613,0.03197501692713731,0.029280493028783043,0.03174010971548591
LH_Vis_8,0.008511931904544764,0.011468999157097653,0.013748980917243574,0.014135886912904698
LH_Vis_9,0.017355497519656208,0.020326382843482708,0.01893075764484793,0.018916939573574317
LH_SomMot_1,0.006978125993173873,0.0036065166024126355,0.007986845196147521,0.019276209426688225
LH_SomMot_2,0.006922853708079426,0.009493014964971189,0.011013002805068471,0.022178004394146664
LH_SomMot_3,0.013804253202338019,0.007793392198316959,0.01609805303375755,0.017037681880363136
LH_SomMot_4,0.016167143390125607,0.01490969890422695,0.018004946869515953,0.018612942005554863
LH_SomMot_5,0.009506833036244803,0.00863629454600727,0.010197736599925383,0.013818071273611628
LH_SomMot_6,0.023255813953488372,0.028838314748027474,0.022385275463250844,0.020105293703104925
LH_DorsAttn_Post_1,0.014246431483093592,0.009769376390443422,0.015586784396633918,0.007088670563362767
LH_DorsAttn_Post_2,0.005319957440340478,0.008940292114026725,0.004794870731943236,0.004255965952272382
LH_DorsAttn_Post_3,0.02343544888004533,0.013527891776865785,0.018764940789564595,0.019055120286310435
LH_DorsAttn_Post_4,0.015324241042435297,0.016070416891210325,0.01467479169257555,0.01383188934488524
LH_DorsAttn_Post_5,0.03189210849949564,0.0377786068620542,0.03748842736530836,0.03237574099407205
LH_DorsAttn_Post_6,0.01311334963865744,0.015172242258425573,0.017797675800411777,0.015559148254086694
LH_DorsAttn_PrCv_1,0.014619519407481105,0.01619477953267283,0.014246431483093592,0.010791913664690683
LH_DorsAttn_FEF_1,0.023794718733159227,0.021390374331550804,0.02936340145642471,0.017949674584421507
LH_SalVentAttn_ParOper_1,0.042310934239798814,0.05775953792369662,0.044950185853058634,0.05003523608174771
LH_SalVentAttn_FrOperIns_1,0.016706048169796463,0.01759040473130761,0.013237712280119943,0.02017438405947298
LH_SalVentAttn_FrOperIns_2,0.005720681507275214,0.018668214290649313,0.0165125951719659,0.016581685528333955
LH_SalVentAttn_PFCl_1,0.006314858572040514,0.018156945653525682,0.011482817228371264,0.011593361798560159
LH_SalVentAttn_Med_1,0.01941439013942434,0.017991128798242342,0.029584490596802498,0.027193964266467693
LH_SalVentAttn_Med_2,0.010391189597755946,0.01409443269908386,0.01894457571612155,0.011482817228371264
LH_SalVentAttn_Med_3,0.013223894208846329,0.006798491066616923,0.009810830604264258,0.0063839489284085735
LH_Limbic_OFC_1,0.03782006107587503,0.03979604526800149,0.03875968992248063,0.03878732606502785
LH_Limbic_TempPole_1,0.010391189597755946,0.017369315590929822,0.016636957813428402,0.015282786828614463
LH_Limbic_TempPole_2,0.00830466083544059,0.008111207837610027,0.01059846066686012,0.007157760919730824
LH_Cont_Par_1,0.023628901877875887,0.02766377868977048,0.020174384059472982,0.022965634456742528
LH_Cont_PFCl_1,0.02384999101825367,0.02143182854537164,0.024886346363774542,0.02389144523207451
